[2026-02-19 23:52:37] Starting training | model=resnet_cifar | mode=collapse
[2026-02-19 23:52:37] Device: cuda
[2026-02-19 23:52:38] Collapse mode: no augmentation, Adam, no weight decay
[2026-02-19 23:52:38] Train: 45000 | Val: 5000 | Test: 10000
[2026-02-19 23:52:42] Epoch 1 | Train Loss: 4.5758 | Train Acc: 4.52% | Val Loss: 4.5642 | Val Acc: 5.88% | LR: 0.001000 | Elapsed: 00:00:04
[2026-02-19 23:52:46] Epoch 2 | Train Loss: 4.5503 | Train Acc: 7.50% | Val Loss: 4.5471 | Val Acc: 7.98% | LR: 0.001000 | Elapsed: 00:00:08
[2026-02-19 23:52:50] Epoch 3 | Train Loss: 4.5318 | Train Acc: 9.47% | Val Loss: 4.5362 | Val Acc: 9.38% | LR: 0.001000 | Elapsed: 00:00:12
[2026-02-19 23:52:55] Epoch 4 | Train Loss: 4.5125 | Train Acc: 11.64% | Val Loss: 4.5131 | Val Acc: 11.50% | LR: 0.001000 | Elapsed: 00:00:16
[2026-02-19 23:52:59] Epoch 5 | Train Loss: 4.4971 | Train Acc: 13.13% | Val Loss: 4.4992 | Val Acc: 12.90% | LR: 0.001000 | Elapsed: 00:00:20
[2026-02-19 23:53:03] Epoch 6 | Train Loss: 4.4849 | Train Acc: 14.30% | Val Loss: 4.4906 | Val Acc: 13.90% | LR: 0.001000 | Elapsed: 00:00:24
[2026-02-19 23:53:06] Epoch 7 | Train Loss: 4.4753 | Train Acc: 15.35% | Val Loss: 4.4910 | Val Acc: 13.70% | LR: 0.001000 | Elapsed: 00:00:28
[2026-02-19 23:53:10] Epoch 8 | Train Loss: 4.4650 | Train Acc: 16.34% | Val Loss: 4.4812 | Val Acc: 14.66% | LR: 0.001000 | Elapsed: 00:00:32
[2026-02-19 23:53:14] Epoch 9 | Train Loss: 4.4563 | Train Acc: 17.24% | Val Loss: 4.4665 | Val Acc: 16.48% | LR: 0.001000 | Elapsed: 00:00:36
[2026-02-19 23:53:18] Epoch 10 | Train Loss: 4.4465 | Train Acc: 18.22% | Val Loss: 4.4569 | Val Acc: 17.38% | LR: 0.001000 | Elapsed: 00:00:40
[2026-02-19 23:53:22] Epoch 11 | Train Loss: 4.4365 | Train Acc: 19.23% | Val Loss: 4.4485 | Val Acc: 18.36% | LR: 0.001000 | Elapsed: 00:00:44
[2026-02-19 23:53:26] Epoch 12 | Train Loss: 4.4242 | Train Acc: 20.59% | Val Loss: 4.4476 | Val Acc: 18.50% | LR: 0.001000 | Elapsed: 00:00:48
[2026-02-19 23:53:30] Epoch 13 | Train Loss: 4.4140 | Train Acc: 21.72% | Val Loss: 4.4380 | Val Acc: 19.42% | LR: 0.001000 | Elapsed: 00:00:51
[2026-02-19 23:53:34] Epoch 14 | Train Loss: 4.4062 | Train Acc: 22.34% | Val Loss: 4.4251 | Val Acc: 20.60% | LR: 0.001000 | Elapsed: 00:00:55
[2026-02-19 23:53:38] Epoch 15 | Train Loss: 4.3977 | Train Acc: 23.29% | Val Loss: 4.4155 | Val Acc: 21.50% | LR: 0.001000 | Elapsed: 00:00:59
