[2026-02-20 11:15:46] Starting training | model=resnet_cifar | mode=best
[2026-02-20 11:15:46] Device: cuda
[2026-02-20 11:15:48] Best mode: strong aug, SGD + cosine LR, early stop patience=30
[2026-02-20 11:15:48] Train: 45000 | Val: 5000 | Test: 10000
[2026-02-20 11:16:02] Epoch 1 | Train Loss: 4.6018 | Train Acc: 1.22% | Val Loss: 4.5996 | Val Acc: 1.60% | LR: 0.100000 | Elapsed: 00:00:14
[2026-02-20 11:16:03] Saved best model | val_acc=1.60% | test_acc=1.78%
[2026-02-20 11:16:17] Epoch 2 | Train Loss: 4.6006 | Train Acc: 1.61% | Val Loss: 4.6011 | Val Acc: 1.30% | LR: 0.099999 | Elapsed: 00:00:28
[2026-02-20 11:16:31] Epoch 3 | Train Loss: 4.5977 | Train Acc: 1.85% | Val Loss: 4.6002 | Val Acc: 1.66% | LR: 0.099998 | Elapsed: 00:00:43
[2026-02-20 11:16:32] Saved best model | val_acc=1.66% | test_acc=2.08%
[2026-02-20 11:16:46] Epoch 4 | Train Loss: 4.5957 | Train Acc: 2.06% | Val Loss: 4.5996 | Val Acc: 1.82% | LR: 0.099996 | Elapsed: 00:00:58
[2026-02-20 11:16:46] Saved best model | val_acc=1.82% | test_acc=2.42%
[2026-02-20 11:17:00] Epoch 5 | Train Loss: 4.5959 | Train Acc: 2.08% | Val Loss: 4.6007 | Val Acc: 1.52% | LR: 0.099994 | Elapsed: 00:01:12
[2026-02-20 11:17:14] Epoch 6 | Train Loss: 4.5959 | Train Acc: 2.06% | Val Loss: 4.5993 | Val Acc: 1.86% | LR: 0.099991 | Elapsed: 00:01:26
[2026-02-20 11:17:15] Saved best model | val_acc=1.86% | test_acc=2.47%
[2026-02-20 11:17:29] Epoch 7 | Train Loss: 4.5959 | Train Acc: 2.04% | Val Loss: 4.5993 | Val Acc: 1.84% | LR: 0.099988 | Elapsed: 00:01:40
[2026-02-20 11:17:43] Epoch 8 | Train Loss: 4.5960 | Train Acc: 2.00% | Val Loss: 4.5992 | Val Acc: 1.54% | LR: 0.099984 | Elapsed: 00:01:55
[2026-02-20 11:17:57] Epoch 9 | Train Loss: 4.5961 | Train Acc: 1.92% | Val Loss: 4.5997 | Val Acc: 1.44% | LR: 0.099980 | Elapsed: 00:02:09
[2026-02-20 11:18:11] Epoch 10 | Train Loss: 4.5960 | Train Acc: 1.94% | Val Loss: 4.6011 | Val Acc: 1.32% | LR: 0.099975 | Elapsed: 00:02:23
[2026-02-20 11:18:25] Epoch 11 | Train Loss: 4.5962 | Train Acc: 1.98% | Val Loss: 4.6000 | Val Acc: 1.52% | LR: 0.099970 | Elapsed: 00:02:37
[2026-02-20 11:18:39] Epoch 12 | Train Loss: 4.5956 | Train Acc: 1.97% | Val Loss: 4.5991 | Val Acc: 1.64% | LR: 0.099964 | Elapsed: 00:02:51
[2026-02-20 11:18:54] Epoch 13 | Train Loss: 4.5960 | Train Acc: 1.92% | Val Loss: 4.5979 | Val Acc: 1.62% | LR: 0.099958 | Elapsed: 00:03:05
[2026-02-20 11:19:08] Epoch 14 | Train Loss: 4.5958 | Train Acc: 1.86% | Val Loss: 4.5985 | Val Acc: 1.64% | LR: 0.099952 | Elapsed: 00:03:19
[2026-02-20 11:19:22] Epoch 15 | Train Loss: 4.5954 | Train Acc: 1.82% | Val Loss: 4.5989 | Val Acc: 1.46% | LR: 0.099944 | Elapsed: 00:03:33
[2026-02-20 11:19:36] Epoch 16 | Train Loss: 4.5961 | Train Acc: 1.76% | Val Loss: 4.5987 | Val Acc: 1.38% | LR: 0.099937 | Elapsed: 00:03:47
[2026-02-20 11:19:50] Epoch 17 | Train Loss: 4.5959 | Train Acc: 1.80% | Val Loss: 4.5993 | Val Acc: 1.46% | LR: 0.099929 | Elapsed: 00:04:01
[2026-02-20 11:20:04] Epoch 18 | Train Loss: 4.5964 | Train Acc: 1.76% | Val Loss: 4.5995 | Val Acc: 1.54% | LR: 0.099920 | Elapsed: 00:04:16
[2026-02-20 11:20:18] Epoch 19 | Train Loss: 4.5956 | Train Acc: 1.80% | Val Loss: 4.5997 | Val Acc: 1.46% | LR: 0.099911 | Elapsed: 00:04:30
[2026-02-20 11:20:32] Epoch 20 | Train Loss: 4.5962 | Train Acc: 1.75% | Val Loss: 4.5991 | Val Acc: 1.48% | LR: 0.099901 | Elapsed: 00:04:44
[2026-02-20 11:20:46] Epoch 21 | Train Loss: 4.5972 | Train Acc: 1.73% | Val Loss: 4.5994 | Val Acc: 1.42% | LR: 0.099891 | Elapsed: 00:04:58
[2026-02-20 11:21:00] Epoch 22 | Train Loss: 4.5964 | Train Acc: 1.74% | Val Loss: 4.6000 | Val Acc: 1.30% | LR: 0.099881 | Elapsed: 00:05:12
[2026-02-20 11:21:14] Epoch 23 | Train Loss: 4.5960 | Train Acc: 1.81% | Val Loss: 4.6000 | Val Acc: 1.42% | LR: 0.099870 | Elapsed: 00:05:26
[2026-02-20 11:21:28] Epoch 24 | Train Loss: 4.5966 | Train Acc: 1.78% | Val Loss: 4.6019 | Val Acc: 1.36% | LR: 0.099858 | Elapsed: 00:05:40
[2026-02-20 11:21:42] Epoch 25 | Train Loss: 4.5966 | Train Acc: 1.73% | Val Loss: 4.5992 | Val Acc: 1.48% | LR: 0.099846 | Elapsed: 00:05:54
[2026-02-20 11:21:56] Epoch 26 | Train Loss: 4.5960 | Train Acc: 1.76% | Val Loss: 4.5990 | Val Acc: 1.54% | LR: 0.099833 | Elapsed: 00:06:08
[2026-02-20 11:22:10] Epoch 27 | Train Loss: 4.5965 | Train Acc: 1.76% | Val Loss: 4.5982 | Val Acc: 1.50% | LR: 0.099820 | Elapsed: 00:06:22
[2026-02-20 11:22:25] Epoch 28 | Train Loss: 4.5964 | Train Acc: 1.74% | Val Loss: 4.6004 | Val Acc: 1.26% | LR: 0.099807 | Elapsed: 00:06:36
[2026-02-20 11:22:39] Epoch 29 | Train Loss: 4.5960 | Train Acc: 1.76% | Val Loss: 4.6010 | Val Acc: 1.38% | LR: 0.099793 | Elapsed: 00:06:50
[2026-02-20 11:22:53] Epoch 30 | Train Loss: 4.5958 | Train Acc: 1.78% | Val Loss: 4.5994 | Val Acc: 1.42% | LR: 0.099778 | Elapsed: 00:07:04
[2026-02-20 11:23:07] Epoch 31 | Train Loss: 4.5961 | Train Acc: 1.78% | Val Loss: 4.5984 | Val Acc: 1.52% | LR: 0.099763 | Elapsed: 00:07:18
[2026-02-20 11:23:21] Epoch 32 | Train Loss: 4.5968 | Train Acc: 1.74% | Val Loss: 4.5990 | Val Acc: 1.44% | LR: 0.099748 | Elapsed: 00:07:32
[2026-02-20 11:23:35] Epoch 33 | Train Loss: 4.5962 | Train Acc: 1.77% | Val Loss: 4.6000 | Val Acc: 1.26% | LR: 0.099732 | Elapsed: 00:07:47
[2026-02-20 11:23:49] Epoch 34 | Train Loss: 4.5960 | Train Acc: 1.77% | Val Loss: 4.6003 | Val Acc: 1.22% | LR: 0.099715 | Elapsed: 00:08:01
[2026-02-20 11:24:03] Epoch 35 | Train Loss: 4.5964 | Train Acc: 1.75% | Val Loss: 4.5986 | Val Acc: 1.56% | LR: 0.099698 | Elapsed: 00:08:15
[2026-02-20 11:24:17] Epoch 36 | Train Loss: 4.5962 | Train Acc: 1.76% | Val Loss: 4.6003 | Val Acc: 1.48% | LR: 0.099681 | Elapsed: 00:08:29
[2026-02-20 11:24:31] Epoch 37 | Train Loss: 4.5963 | Train Acc: 1.80% | Val Loss: 4.5997 | Val Acc: 1.54% | LR: 0.099663 | Elapsed: 00:08:43
[2026-02-20 11:24:46] Epoch 38 | Train Loss: 4.5963 | Train Acc: 1.81% | Val Loss: 4.5999 | Val Acc: 1.46% | LR: 0.099644 | Elapsed: 00:08:57
[2026-02-20 11:24:59] Epoch 39 | Train Loss: 4.5964 | Train Acc: 1.76% | Val Loss: 4.5991 | Val Acc: 1.42% | LR: 0.099625 | Elapsed: 00:09:11
[2026-02-20 11:25:13] Epoch 40 | Train Loss: 4.5955 | Train Acc: 1.81% | Val Loss: 4.5997 | Val Acc: 1.46% | LR: 0.099606 | Elapsed: 00:09:25
[2026-02-20 11:25:27] Epoch 41 | Train Loss: 4.5958 | Train Acc: 1.77% | Val Loss: 4.6011 | Val Acc: 1.40% | LR: 0.099586 | Elapsed: 00:09:39
[2026-02-20 11:25:41] Epoch 42 | Train Loss: 4.5961 | Train Acc: 1.79% | Val Loss: 4.5980 | Val Acc: 1.52% | LR: 0.099565 | Elapsed: 00:09:53
[2026-02-20 11:25:56] Epoch 43 | Train Loss: 4.5964 | Train Acc: 1.74% | Val Loss: 4.6005 | Val Acc: 1.48% | LR: 0.099544 | Elapsed: 00:10:08
[2026-02-20 11:26:10] Epoch 44 | Train Loss: 4.5960 | Train Acc: 1.77% | Val Loss: 4.5998 | Val Acc: 1.36% | LR: 0.099523 | Elapsed: 00:10:22
[2026-02-20 11:26:24] Epoch 45 | Train Loss: 4.5956 | Train Acc: 1.80% | Val Loss: 4.6004 | Val Acc: 1.42% | LR: 0.099501 | Elapsed: 00:10:36
[2026-02-20 11:26:38] Epoch 46 | Train Loss: 4.5964 | Train Acc: 1.75% | Val Loss: 4.6008 | Val Acc: 1.38% | LR: 0.099479 | Elapsed: 00:10:49
[2026-02-20 11:26:52] Epoch 47 | Train Loss: 4.5963 | Train Acc: 1.81% | Val Loss: 4.5988 | Val Acc: 1.50% | LR: 0.099456 | Elapsed: 00:11:03
[2026-02-20 11:27:06] Epoch 48 | Train Loss: 4.5961 | Train Acc: 1.78% | Val Loss: 4.5988 | Val Acc: 1.52% | LR: 0.099433 | Elapsed: 00:11:18
